bairro,mean,median,count
CORDEIRO,283.99,4.0,73
JARDIM SAO PAULO,12.18,5.0,71
SAN MARTIN,12.18,4.0,45
BRASILIA TEIMOSA,8.32,3.0,38
CAMPO GRANDE,6.3,4.0,80
IPUTINGA,6.03,4.0,107
SANTO AMARO,5.65,5.0,52
NOVA DESCOBERTA,5.62,3.0,98
VARZEA,5.62,4.0,121
BOA VIAGEM,5.52,4.0,143
COHAB,5.4,4.0,103
IBURA,5.29,4.0,116
AREIAS,5.18,4.0,55
MACAXEIRA,5.16,4.0,32
JORDAO,5.03,4.0,33
MADALENA,4.91,3.0,47
IMBIRIBEIRA,4.84,5.0,89
AFOGADOS,4.8,5.0,56
IPSEP,4.79,4.0,33
PINA,4.38,4.0,63
BARRO,4.34,3.5,32
CASA AMARELA,4.1,4.0,63
TORROES,4.08,3.0,73
TORRE,4.06,4.0,32
BOA VISTA,4.06,3.0,33
PASSARINHO,3.97,4.0,31
AGUA FRIA,3.61,3.0,116
ILHA JOANA BEZERRA,3.52,3.0,54
CAMPINA DO BARRETO,3.5,3.0,32
COELHOS,3.49,2.0,41
VASCO DA GAMA,3.45,1.0,65
LINHA DO TIRO,3.36,1.0,72
DOIS UNIDOS,3.16,0.0,180
BREJO DA GUABIRABA,2.97,1.0,35
ALTO SANTA TEREZINHA,2.06,0.0,31
